MISSION_LOG: t=2025-04-15T15:54:05.432Z | Mission 10_0_2_15_20250415155405_864c7t STARTED for robot at 10.0.2.15
limo1 : SCAN_LOG: t=19:00:14.000 | min_dist=1.15m@-2° | obstacles(<0.5m)=0 | F/L/R/B=1.15/1.29/1.52/Infinitym | avg=3.54m var=6.9
limo2 : SCAN_LOG: t=19:00:14.000 | min_dist=0.22m@-7° | obstacles(<0.5m)=359 | F/L/R/B=0.22/0.38/0.33/Infinitym | avg=2.22m var=7.42
limo1 : SCAN_LOG: t=19:00:14.125 | min_dist=1.11m@-6° | obstacles(<0.5m)=0 | F/L/R/B=1.11/1.27/1.48/Infinitym | avg=3.5m var=6.97
limo2 : SCAN_LOG: t=19:00:14.125 | min_dist=0.19m@-12° | obstacles(<0.5m)=386 | F/L/R/B=0.19/0.34/0.27/Infinitym | avg=2.16m var=7.47
limo1 : SCAN_LOG: t=19:00:14.250 | min_dist=1.01m@4° | obstacles(<0.5m)=0 | F/L/R/B=1.01/1.22/1.34/Infinitym | avg=3.41m var=7.12
limo2 : SCAN_LOG: t=19:00:14.250 | min_dist=0.18m@-9° | obstacles(<0.5m)=400 | F/L/R/B=0.18/0.29/0.25/Infinitym | avg=2.12m var=7.53
limo1 : SCAN_LOG: t=19:00:14.375 | min_dist=0.91m@-4° | obstacles(<0.5m)=0 | F/L/R/B=0.91/1.17/1.21/Infinitym | avg=3.27m var=7.19
limo2 : SCAN_LOG: t=19:00:14.375 | min_dist=0.16m@-13° | obstacles(<0.5m)=412 | F/L/R/B=0.16/0.29/0.22/Infinitym | avg=2.13m var=7.87
limo1 : SCAN_LOG: t=19:00:14.500 | min_dist=0.81m@-5° | obstacles(<0.5m)=0 | F/L/R/B=0.81/1.12/1.08/Infinitym | avg=3.13m var=7.26
limo2 : SCAN_LOG: t=19:00:14.500 | min_dist=0.16m@-25° | obstacles(<0.5m)=418 | F/L/R/B=0.16/0.33/0.19/Infinitym | avg=2.14m var=8.28
limo1 : SCAN_LOG: t=19:00:14.625 | min_dist=0.71m@-7° | obstacles(<0.5m)=0 | F/L/R/B=0.71/1.09/0.96/Infinitym | avg=2.98m var=7.32
limo2 : SCAN_LOG: t=19:00:14.625 | min_dist=0.15m@-36° | obstacles(<0.5m)=418 | F/L/R/B=0.15/0.43/0.17/Infinitym | avg=2.08m var=8.34
limo1 : SCAN_LOG: t=19:00:14.750 | min_dist=0.61m@-7° | obstacles(<0.5m)=0 | F/L/R/B=0.61/0.96/0.82/Infinitym | avg=2.81m var=7.37
limo2 : SCAN_LOG: t=19:00:14.750 | min_dist=0.17m@-37° | obstacles(<0.5m)=407 | F/L/R/B=0.17/0.77/0.18/Infinitym | avg=1.88m var=7.33
limo1 : SCAN_LOG: t=19:00:14.875 | min_dist=0.51m@-8° | obstacles(<0.5m)=0 | F/L/R/B=0.51/0.82/0.69/Infinitym | avg=2.63m var=7.39
limo2 : SCAN_LOG: t=19:00:14.875 | min_dist=0.19m@-41° | obstacles(<0.5m)=389 | F/L/R/B=0.19/6.27/0.19/Infinitym | avg=1.86m var=7.19
