MISSION_LOG: t=2025-04-15T18:49:05.014Z | Mission 10_0_2_15_20250415184905_b0y64d STARTED for robot at 10.0.2.15
MISSION_LOG: t=2025-04-15T18:56:51.777Z | Mission undefined STOPPED for robot at 10.0.2.15
MISSION_LOG: t=2025-04-15T18:56:52.102Z | Mission undefined STOPPED for robot at 10.0.2.15
MISSION_LOG: t=2025-04-15T18:56:51.882Z | Mission undefined STOPPED for robot at 10.0.2.15
limo1 : SCAN_LOG: t=19:00:01.250 | min_dist=1.18m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.92/1.18/4.86/Infinitym | avg=5.28m var=4.44
limo2 : SCAN_LOG: t=19:00:01.250 | min_dist=1.71m@11° | obstacles(<0.5m)=0 | F/L/R/B=1.71/2.05/3.28/Infinitym | avg=4.51m var=6.41
limo1 : SCAN_LOG: t=19:00:01.375 | min_dist=1.18m@119° | obstacles(<0.5m)=0 | F/L/R/B=2.91/1.18/4.83/Infinitym | avg=5.27m var=4.49
limo2 : SCAN_LOG: t=19:00:01.375 | min_dist=1.72m@12° | obstacles(<0.5m)=0 | F/L/R/B=1.72/2.05/3.27/Infinitym | avg=4.51m var=6.41
limo1 : SCAN_LOG: t=19:00:01.500 | min_dist=1.16m@52° | obstacles(<0.5m)=0 | F/L/R/B=2.92/1.16/4.84/Infinitym | avg=5.28m var=4.47
limo2 : SCAN_LOG: t=19:00:01.500 | min_dist=1.72m@10° | obstacles(<0.5m)=0 | F/L/R/B=1.72/2.05/3.26/Infinitym | avg=4.51m var=6.41
limo1 : SCAN_LOG: t=19:00:01.625 | min_dist=1.18m@52° | obstacles(<0.5m)=0 | F/L/R/B=2.92/1.18/4.84/Infinitym | avg=5.28m var=4.46
limo2 : SCAN_LOG: t=19:00:01.625 | min_dist=1.72m@15° | obstacles(<0.5m)=0 | F/L/R/B=1.72/2.04/3.27/Infinitym | avg=4.51m var=6.41
limo1 : SCAN_LOG: t=19:00:01.750 | min_dist=1.17m@52° | obstacles(<0.5m)=0 | F/L/R/B=2.91/1.17/4.83/Infinitym | avg=5.28m var=4.46
limo2 : SCAN_LOG: t=19:00:01.750 | min_dist=1.71m@15° | obstacles(<0.5m)=0 | F/L/R/B=1.71/2.05/3.29/Infinitym | avg=4.51m var=6.41
limo1 : SCAN_LOG: t=19:00:01.875 | min_dist=1.18m@52° | obstacles(<0.5m)=0 | F/L/R/B=2.92/1.18/4.84/Infinitym | avg=5.28m var=4.46
limo2 : SCAN_LOG: t=19:00:01.875 | min_dist=1.72m@15° | obstacles(<0.5m)=0 | F/L/R/B=1.72/2.05/3.29/Infinitym | avg=4.51m var=6.41
MISSION_LOG: t=2025-04-15T18:58:26.560Z | Mission 10_0_2_15_20250415184905_b0y64d STARTED for robot at 10.0.2.15
limo1 : SCAN_LOG: t=19:00:02.000 | min_dist=1.17m@52° | obstacles(<0.5m)=0 | F/L/R/B=2.9/1.17/4.84/Infinitym | avg=5.29m var=4.46
limo2 : SCAN_LOG: t=19:00:02.000 | min_dist=1.7m@10° | obstacles(<0.5m)=0 | F/L/R/B=1.7/2.04/3.24/Infinitym | avg=4.5m var=6.45
limo1 : SCAN_LOG: t=19:00:02.125 | min_dist=1.17m@52° | obstacles(<0.5m)=0 | F/L/R/B=2.8/1.17/4.98/Infinitym | avg=5.32m var=4.43
limo2 : SCAN_LOG: t=19:00:02.125 | min_dist=1.6m@10° | obstacles(<0.5m)=0 | F/L/R/B=1.6/1.91/3.06/Infinitym | avg=4.38m var=6.66
limo1 : SCAN_LOG: t=19:00:02.250 | min_dist=1.18m@52° | obstacles(<0.5m)=0 | F/L/R/B=2.7/1.18/5.13/Infinitym | avg=5.37m var=4.43
limo2 : SCAN_LOG: t=19:00:02.250 | min_dist=1.5m@13° | obstacles(<0.5m)=0 | F/L/R/B=1.5/1.82/2.88/Infinitym | avg=4.27m var=6.88
limo1 : SCAN_LOG: t=19:00:02.375 | min_dist=1.18m@52° | obstacles(<0.5m)=0 | F/L/R/B=2.61/1.18/5.23/Infinitym | avg=5.32m var=4.64
limo2 : SCAN_LOG: t=19:00:02.375 | min_dist=1.41m@12° | obstacles(<0.5m)=0 | F/L/R/B=1.41/1.71/2.69/Infinitym | avg=4.16m var=7.11
limo1 : SCAN_LOG: t=19:00:02.500 | min_dist=1.17m@52° | obstacles(<0.5m)=0 | F/L/R/B=2.5/1.17/6.39/Infinitym | avg=5.28m var=4.81
limo2 : SCAN_LOG: t=19:00:02.500 | min_dist=1.31m@6° | obstacles(<0.5m)=0 | F/L/R/B=1.31/1.58/2.5/Infinitym | avg=4.04m var=7.33
limo1 : SCAN_LOG: t=19:00:02.625 | min_dist=1.17m@52° | obstacles(<0.5m)=0 | F/L/R/B=2.4/1.17/6.39/Infinitym | avg=5.21m var=5.02
limo2 : SCAN_LOG: t=19:00:02.625 | min_dist=1.21m@7° | obstacles(<0.5m)=0 | F/L/R/B=1.21/1.45/2.32/Infinitym | avg=3.92m var=7.55
limo1 : SCAN_LOG: t=19:00:02.750 | min_dist=1.17m@52° | obstacles(<0.5m)=0 | F/L/R/B=2.31/1.17/6.38/Infinitym | avg=5.15m var=5.23
limo2 : SCAN_LOG: t=19:00:02.750 | min_dist=1.12m@7° | obstacles(<0.5m)=0 | F/L/R/B=1.12/1.34/2.13/Infinitym | avg=3.8m var=7.78
limo1 : SCAN_LOG: t=19:00:02.875 | min_dist=1.18m@52° | obstacles(<0.5m)=0 | F/L/R/B=2.2/1.18/6.39/Infinitym | avg=5.09m var=5.45
limo2 : SCAN_LOG: t=19:00:02.875 | min_dist=1.01m@12° | obstacles(<0.5m)=0 | F/L/R/B=1.01/1.21/1.93/Infinitym | avg=3.67m var=8
limo1 : SCAN_LOG: t=19:00:03.000 | min_dist=1.18m@52° | obstacles(<0.5m)=0 | F/L/R/B=2.11/1.18/6.39/Infinitym | avg=5.02m var=5.68
limo2 : SCAN_LOG: t=19:00:03.000 | min_dist=0.92m@11° | obstacles(<0.5m)=0 | F/L/R/B=0.92/1.1/1.78/Infinitym | avg=3.54m var=8.22
limo1 : SCAN_LOG: t=19:00:03.125 | min_dist=1.18m@52° | obstacles(<0.5m)=0 | F/L/R/B=2.01/1.18/6.38/Infinitym | avg=4.94m var=5.9
limo2 : SCAN_LOG: t=19:00:03.125 | min_dist=0.82m@14° | obstacles(<0.5m)=0 | F/L/R/B=0.82/0.99/1.6/Infinitym | avg=3.4m var=8.42
