[2025-04-15T19:55:51.362Z] 🚀 Mission démarrée pour 10.0.2.15
MISSION_LOG: t=2025-04-15T19:55:51.366Z | Mission 10_0_2_15_20250415195551_kdlgfw STARTED for robot at 10.0.2.15
limo1 : SCAN_LOG: t=19:00:02.250 | min_dist=1.03m@49° | obstacles(<0.5m)=0 | F/L/R/B=1.04/1.03/1.49/Infinitym | avg=2.82m var=3.7
limo2 : SCAN_LOG: t=19:00:02.250 | min_dist=0.15m@-115° | obstacles(<0.5m)=185 | F/L/R/B=7.97/1.3/0.15/Infinitym | avg=1.44m var=2.58
limo1 : SCAN_LOG: t=19:00:02.375 | min_dist=0.97m@54° | obstacles(<0.5m)=0 | F/L/R/B=0.97/0.97/1.54/Infinitym | avg=2.85m var=3.82
limo2 : SCAN_LOG: t=19:00:02.375 | min_dist=0.15m@-119° | obstacles(<0.5m)=178 | F/L/R/B=Infinity/0.99/0.15/Infinitym | avg=1.22m var=1.97
limo1 : SCAN_LOG: t=19:00:02.500 | min_dist=0.9m@56° | obstacles(<0.5m)=0 | F/L/R/B=0.92/0.9/1.59/Infinitym | avg=2.87m var=3.95
limo2 : SCAN_LOG: t=19:00:02.500 | min_dist=0.15m@-120° | obstacles(<0.5m)=187 | F/L/R/B=7.94/1.15/0.15/Infinitym | avg=1.38m var=2.52
limo1 : SCAN_LOG: t=19:00:02.625 | min_dist=0.84m@56° | obstacles(<0.5m)=0 | F/L/R/B=0.85/0.84/1.64/Infinitym | avg=2.9m var=4.06
limo2 : SCAN_LOG: t=19:00:02.625 | min_dist=0.15m@-119° | obstacles(<0.5m)=184 | F/L/R/B=7.7/1.21/0.15/Infinitym | avg=1.52m var=3.15
limo1 : SCAN_LOG: t=19:00:02.750 | min_dist=0.77m@57° | obstacles(<0.5m)=0 | F/L/R/B=2.96/0.77/1.7/Infinitym | avg=2.94m var=4.17
limo2 : SCAN_LOG: t=19:00:02.750 | min_dist=0.16m@-118° | obstacles(<0.5m)=185 | F/L/R/B=7.53/1.25/0.16/Infinitym | avg=1.66m var=3.76
limo1 : SCAN_LOG: t=19:00:02.875 | min_dist=0.7m@53° | obstacles(<0.5m)=0 | F/L/R/B=2.86/0.7/1.75/Infinitym | avg=2.99m var=4.26
limo2 : SCAN_LOG: t=19:00:02.875 | min_dist=0.15m@-115° | obstacles(<0.5m)=183 | F/L/R/B=7.41/1.29/0.15/Infinitym | avg=1.77m var=4.17
limo1 : SCAN_LOG: t=19:00:03.000 | min_dist=0.66m@59° | obstacles(<0.5m)=0 | F/L/R/B=2.78/0.66/1.8/Infinitym | avg=3.03m var=4.37
limo2 : SCAN_LOG: t=19:00:03.000 | min_dist=0.16m@-111° | obstacles(<0.5m)=183 | F/L/R/B=7.29/1.34/0.16/Infinitym | avg=1.88m var=4.53
limo1 : SCAN_LOG: t=19:00:03.125 | min_dist=0.61m@67° | obstacles(<0.5m)=0 | F/L/R/B=2.7/0.61/1.86/Infinitym | avg=3.08m var=4.43
limo2 : SCAN_LOG: t=19:00:03.125 | min_dist=0.17m@-105° | obstacles(<0.5m)=181 | F/L/R/B=7.17/1.42/0.17/Infinitym | avg=1.99m var=4.84
limo1 : SCAN_LOG: t=19:00:03.250 | min_dist=0.59m@78° | obstacles(<0.5m)=0 | F/L/R/B=2.62/0.59/1.92/Infinitym | avg=3.17m var=4.6
limo2 : SCAN_LOG: t=19:00:03.250 | min_dist=0.16m@-109° | obstacles(<0.5m)=181 | F/L/R/B=6.93/1.48/0.16/Infinitym | avg=2.08m var=5.05
limo1 : SCAN_LOG: t=19:00:03.375 | min_dist=0.55m@85° | obstacles(<0.5m)=0 | F/L/R/B=2.52/0.55/1.97/Infinitym | avg=3.42m var=5.19
limo2 : SCAN_LOG: t=19:00:03.375 | min_dist=0.17m@-116° | obstacles(<0.5m)=179 | F/L/R/B=6.44/1.54/0.17/Infinitym | avg=2.17m var=5.27
limo1 : SCAN_LOG: t=19:00:03.500 | min_dist=0.57m@95° | obstacles(<0.5m)=0 | F/L/R/B=2.44/0.57/2.03/Infinitym | avg=3.65m var=5.53
limo2 : SCAN_LOG: t=19:00:03.500 | min_dist=0.16m@-120° | obstacles(<0.5m)=178 | F/L/R/B=6.05/1.61/0.16/Infinitym | avg=2.24m var=5.31
limo1 : SCAN_LOG: t=19:00:03.625 | min_dist=0.59m@103° | obstacles(<0.5m)=0 | F/L/R/B=2.36/0.59/2.07/Infinitym | avg=3.87m var=5.73
limo2 : SCAN_LOG: t=19:00:03.625 | min_dist=0.16m@-116° | obstacles(<0.5m)=176 | F/L/R/B=5.72/1.69/0.16/Infinitym | avg=2.29m var=5.31
limo1 : SCAN_LOG: t=19:00:03.750 | min_dist=0.62m@113° | obstacles(<0.5m)=0 | F/L/R/B=2.27/0.62/2.15/Infinitym | avg=4.11m var=5.85
