MISSION_LOG: t=2025-04-15T21:21:44.916Z | Mission 10_0_2_15_20250415212144_uj1f0i STARTED for robot at 10.0.2.15
limo1 : SCAN_LOG: t=19:00:58.250 | min_dist=0.83m@65° | obstacles(<0.5m)=0 | F/L/R/B=2.88/0.83/1.3/Infinitym | avg=2.91m var=4.07
limo2 : SCAN_LOG: t=19:00:58.250 | min_dist=1.92m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.17/1.92/2.23/Infinitym | avg=4.38m var=5.05
limo1 : SCAN_LOG: t=19:00:58.375 | min_dist=0.8m@72° | obstacles(<0.5m)=0 | F/L/R/B=2.79/0.8/1.27/Infinitym | avg=2.97m var=4.31
limo2 : SCAN_LOG: t=19:00:58.375 | min_dist=2.1m@-16° | obstacles(<0.5m)=0 | F/L/R/B=2.1/2.21/2.22/Infinitym | avg=4.4m var=5.21
limo1 : SCAN_LOG: t=19:00:58.500 | min_dist=0.77m@79° | obstacles(<0.5m)=0 | F/L/R/B=2.69/0.77/1.23/Infinitym | avg=3.04m var=4.55
limo2 : SCAN_LOG: t=19:00:58.500 | min_dist=1.99m@-18° | obstacles(<0.5m)=0 | F/L/R/B=1.99/2.61/2.26/Infinitym | avg=4.42m var=5.42
limo1 : SCAN_LOG: t=19:00:58.625 | min_dist=0.75m@86° | obstacles(<0.5m)=0 | F/L/R/B=2.6/0.75/1.21/Infinitym | avg=3.26m var=5.23
limo2 : SCAN_LOG: t=19:00:58.625 | min_dist=1.89m@-12° | obstacles(<0.5m)=0 | F/L/R/B=1.89/2.96/2.22/Infinitym | avg=4.42m var=5.65
limo1 : SCAN_LOG: t=19:00:58.750 | min_dist=0.75m@92° | obstacles(<0.5m)=0 | F/L/R/B=2.51/0.75/1.19/Infinitym | avg=3.52m var=5.86
limo2 : SCAN_LOG: t=19:00:58.750 | min_dist=1.81m@-13° | obstacles(<0.5m)=0 | F/L/R/B=1.81/3.33/2.11/Infinitym | avg=4.42m var=5.92
limo1 : SCAN_LOG: t=19:00:58.875 | min_dist=0.76m@101° | obstacles(<0.5m)=0 | F/L/R/B=2.41/0.76/1.18/Infinitym | avg=3.75m var=6.28
limo2 : SCAN_LOG: t=19:00:58.875 | min_dist=1.71m@-18° | obstacles(<0.5m)=0 | F/L/R/B=1.71/3.48/1.98/Infinitym | avg=4.42m var=6.22
limo1 : SCAN_LOG: t=19:00:59.000 | min_dist=0.79m@107° | obstacles(<0.5m)=0 | F/L/R/B=2.31/0.79/1.18/Infinitym | avg=3.9m var=6.4
