MISSION_LOG: t=2025-04-15T23:06:36.342Z | Mission 10_0_2_15_20250415230636_vu7zbz STARTED for robot at 10.0.2.15
limo1 : SCAN_LOG: t=19:00:00.125 | min_dist=1.28m@47° | obstacles(<0.5m)=0 | F/L/R/B=1.41/1.28/6.37/Infinitym | avg=5.47m var=4.53
limo2 : SCAN_LOG: t=19:00:00.125 | min_dist=0.05m@27° | obstacles(<0.5m)=2 | F/L/R/B=0.05/3.09/1.54/Infinitym | avg=6.03m var=3.57
limo1 : SCAN_LOG: t=19:00:00.250 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=1.42/1.27/6.39/Infinitym | avg=5.47m var=4.53
limo2 : SCAN_LOG: t=19:00:00.250 | min_dist=0.11m@27° | obstacles(<0.5m)=1 | F/L/R/B=0.11/3.09/1.53/Infinitym | avg=6.04m var=3.51
limo1 : SCAN_LOG: t=19:00:00.375 | min_dist=1.13m@54° | obstacles(<0.5m)=0 | F/L/R/B=1.5/1.13/6.38/Infinitym | avg=5.46m var=4.62
limo2 : SCAN_LOG: t=19:00:00.375 | min_dist=1.54m@-65° | obstacles(<0.5m)=0 | F/L/R/B=4.49/3.08/1.54/Infinitym | avg=5.4m var=3.06
limo1 : SCAN_LOG: t=19:00:00.500 | min_dist=1.08m@58° | obstacles(<0.5m)=0 | F/L/R/B=1.52/1.08/6.39/Infinitym | avg=5.43m var=4.76
limo2 : SCAN_LOG: t=19:00:00.500 | min_dist=1.57m@-72° | obstacles(<0.5m)=0 | F/L/R/B=3.28/3.07/1.57/Infinitym | avg=4.67m var=3.32
limo1 : SCAN_LOG: t=19:00:00.625 | min_dist=1.13m@67° | obstacles(<0.5m)=0 | F/L/R/B=1.43/1.13/6.39/Infinitym | avg=5.38m var=4.93
limo2 : SCAN_LOG: t=19:00:00.625 | min_dist=1.59m@-79° | obstacles(<0.5m)=0 | F/L/R/B=6.18/3.04/1.59/Infinitym | avg=5.77m var=3.75
limo1 : SCAN_LOG: t=19:00:00.750 | min_dist=1.13m@62° | obstacles(<0.5m)=0 | F/L/R/B=1.34/1.13/6.38/Infinitym | avg=5.36m var=5.05
limo2 : SCAN_LOG: t=19:00:00.750 | min_dist=1.65m@-88° | obstacles(<0.5m)=0 | F/L/R/B=6.22/2.99/1.65/Infinitym | avg=5.6m var=3.83
limo1 : SCAN_LOG: t=19:00:00.875 | min_dist=0.95m@74° | obstacles(<0.5m)=0 | F/L/R/B=1.23/0.95/6.38/Infinitym | avg=5.16m var=5.39
limo2 : SCAN_LOG: t=19:00:00.875 | min_dist=1.7m@-95° | obstacles(<0.5m)=0 | F/L/R/B=6.45/2.89/1.7/Infinitym | avg=4.67m var=4.06
limo1 : SCAN_LOG: t=19:00:01.000 | min_dist=0.94m@80° | obstacles(<0.5m)=0 | F/L/R/B=1.16/0.94/6.39/Infinitym | avg=5m var=5.62
limo2 : SCAN_LOG: t=19:00:01.000 | min_dist=0.05m@-88° | obstacles(<0.5m)=23 | F/L/R/B=Infinity/1.77/0.05/Infinitym | avg=3.07m var=2.66
limo1 : SCAN_LOG: t=19:00:01.125 | min_dist=0.98m@84° | obstacles(<0.5m)=0 | F/L/R/B=1.06/0.98/6.39/Infinitym | avg=4.89m var=5.76
limo2 : SCAN_LOG: t=19:00:01.125 | min_dist=0.05m@-58° | obstacles(<0.5m)=107 | F/L/R/B=Infinity/1.57/0.05/Infinitym | avg=2.02m var=1.99
