MISSION_LOG: t=2025-04-15T23:54:13.517Z | Mission 10_0_2_15_20250415235413_w7dp8y STARTED for robot at 10.0.2.15
limo1 : SCAN_LOG: t=19:00:04.750 | min_dist=1.21m@34° | obstacles(<0.5m)=0 | F/L/R/B=1.21/1.26/1.3/Infinitym | avg=5.32m var=5.63
limo2 : SCAN_LOG: t=19:00:04.750 | min_dist=0.09m@-9° | obstacles(<0.5m)=447 | F/L/R/B=0.09/0.24/0.11/Infinitym | avg=2.32m var=9.77
limo1 : SCAN_LOG: t=19:00:04.875 | min_dist=1.12m@36° | obstacles(<0.5m)=0 | F/L/R/B=1.12/1.18/1.36/Infinitym | avg=5.37m var=5.52
limo2 : SCAN_LOG: t=19:00:04.875 | min_dist=0.05m@-63° | obstacles(<0.5m)=384 | F/L/R/B=0.05/0.1/0.05/Infinitym | avg=2.25m var=9.82
limo1 : SCAN_LOG: t=19:00:05.000 | min_dist=1.05m@39° | obstacles(<0.5m)=0 | F/L/R/B=1.05/1.2/1.4/Infinitym | avg=5.4m var=5.39
limo2 : SCAN_LOG: t=19:00:05.000 | min_dist=0.05m@-80° | obstacles(<0.5m)=202 | F/L/R/B=0.05/0.05/0.05/Infinitym | avg=3.68m var=10.1
limo1 : SCAN_LOG: t=19:00:05.125 | min_dist=0.98m@42° | obstacles(<0.5m)=0 | F/L/R/B=0.98/1.06/1.57/Infinitym | avg=5.43m var=5.34
limo2 : SCAN_LOG: t=19:00:05.125 | min_dist=0.05m@-93° | obstacles(<0.5m)=128 | F/L/R/B=0.05/0.05/0.05/Infinitym | avg=4.84m var=7.04
limo1 : SCAN_LOG: t=19:00:05.250 | min_dist=0.91m@46° | obstacles(<0.5m)=0 | F/L/R/B=0.92/0.91/2.32/Infinitym | avg=5.42m var=5.34
limo2 : SCAN_LOG: t=19:00:05.250 | min_dist=0.05m@-101° | obstacles(<0.5m)=95 | F/L/R/B=5.32/0.05/0.05/Infinitym | avg=5.13m var=5.9
limo1 : SCAN_LOG: t=19:00:05.375 | min_dist=0.83m@51° | obstacles(<0.5m)=0 | F/L/R/B=0.88/0.83/2.29/Infinitym | avg=5.38m var=5.4
