MISSION_LOG: t=2025-04-16T02:12:19.801Z | Mission 10_0_2_15_20250416021219_82h5rp STARTED for robot at 10.0.2.15
limo1 : SCAN_LOG: t=19:00:05.000 | min_dist=1.16m@52° | obstacles(<0.5m)=0 | F/L/R/B=1.68/1.16/2.09/Infinitym | avg=4.46m var=6.37
limo2 : SCAN_LOG: t=19:00:05.000 | min_dist=0.23m@74° | obstacles(<0.5m)=304 | F/L/R/B=0.25/0.23/3.51/Infinitym | avg=2.86m var=9.84
limo1 : SCAN_LOG: t=19:00:05.125 | min_dist=1.16m@52° | obstacles(<0.5m)=0 | F/L/R/B=1.68/1.16/2.09/Infinitym | avg=4.46m var=6.37
limo2 : SCAN_LOG: t=19:00:05.125 | min_dist=0.23m@55° | obstacles(<0.5m)=305 | F/L/R/B=0.25/0.23/3.52/Infinitym | avg=2.86m var=9.84
limo1 : SCAN_LOG: t=19:00:05.250 | min_dist=1.23m@49° | obstacles(<0.5m)=0 | F/L/R/B=1.64/1.23/2.14/Infinitym | avg=4.51m var=6.47
limo2 : SCAN_LOG: t=19:00:05.250 | min_dist=0.21m@63° | obstacles(<0.5m)=321 | F/L/R/B=0.23/0.21/3.54/Infinitym | avg=2.76m var=9.84
limo1 : SCAN_LOG: t=19:00:05.375 | min_dist=1.11m@58° | obstacles(<0.5m)=0 | F/L/R/B=1.59/1.11/2.21/Infinitym | avg=4.58m var=6.6
limo2 : SCAN_LOG: t=19:00:05.375 | min_dist=0.2m@69° | obstacles(<0.5m)=336 | F/L/R/B=0.22/0.2/3.55/Infinitym | avg=2.66m var=9.81
limo1 : SCAN_LOG: t=19:00:05.500 | min_dist=1.06m@61° | obstacles(<0.5m)=0 | F/L/R/B=1.53/1.06/2.27/Infinitym | avg=4.62m var=6.71
limo2 : SCAN_LOG: t=19:00:05.500 | min_dist=0.2m@61° | obstacles(<0.5m)=349 | F/L/R/B=0.2/0.2/3.57/Infinitym | avg=2.58m var=9.76
limo1 : SCAN_LOG: t=19:00:05.625 | min_dist=1.03m@66° | obstacles(<0.5m)=0 | F/L/R/B=1.47/1.03/2.32/Infinitym | avg=4.63m var=6.83
limo2 : SCAN_LOG: t=19:00:05.625 | min_dist=0.18m@63° | obstacles(<0.5m)=356 | F/L/R/B=0.2/0.18/3.58/Infinitym | avg=2.54m var=9.75
limo1 : SCAN_LOG: t=19:00:05.750 | min_dist=1.04m@65° | obstacles(<0.5m)=0 | F/L/R/B=1.44/1.04/2.38/Infinitym | avg=4.57m var=6.87
limo2 : SCAN_LOG: t=19:00:05.750 | min_dist=0.2m@52° | obstacles(<0.5m)=347 | F/L/R/B=0.21/0.2/3.57/Infinitym | avg=2.63m var=9.91
limo1 : SCAN_LOG: t=19:00:05.875 | min_dist=0.98m@71° | obstacles(<0.5m)=0 | F/L/R/B=1.38/0.98/2.46/Infinitym | avg=4.49m var=6.94
