MISSION_LOG: t=2025-04-16T02:30:49.061Z | Mission 10_0_2_15_20250416023049_jw2xcp STARTED for robot at 10.0.2.15
limo1 : SCAN_LOG: t=19:00:13.500 | min_dist=1.18m@52° | obstacles(<0.5m)=0 | F/L/R/B=5.19/1.18/1.5/Infinitym | avg=5.49m var=6.1
limo2 : SCAN_LOG: t=19:00:13.500 | min_dist=1.18m@85° | obstacles(<0.5m)=0 | F/L/R/B=3.72/1.18/3/Infinitym | avg=5.14m var=4.62
limo1 : SCAN_LOG: t=19:00:13.625 | min_dist=1.2m@52° | obstacles(<0.5m)=0 | F/L/R/B=5.18/1.2/1.5/Infinitym | avg=5.5m var=6.07
limo2 : SCAN_LOG: t=19:00:13.625 | min_dist=1.17m@85° | obstacles(<0.5m)=0 | F/L/R/B=3.75/1.17/3/Infinitym | avg=5.13m var=4.63
limo1 : SCAN_LOG: t=19:00:13.750 | min_dist=1.27m@47° | obstacles(<0.5m)=0 | F/L/R/B=5.33/1.27/1.58/Infinitym | avg=5.52m var=5.83
limo2 : SCAN_LOG: t=19:00:13.750 | min_dist=1.17m@89° | obstacles(<0.5m)=0 | F/L/R/B=3.88/1.17/3.06/Infinitym | avg=5.08m var=4.68
limo1 : SCAN_LOG: t=19:00:13.875 | min_dist=1.25m@47° | obstacles(<0.5m)=0 | F/L/R/B=5.51/1.25/1.66/Infinitym | avg=5.52m var=5.57
limo2 : SCAN_LOG: t=19:00:13.875 | min_dist=1.17m@94° | obstacles(<0.5m)=0 | F/L/R/B=4.05/1.17/3.14/Infinitym | avg=5.02m var=4.71
limo1 : SCAN_LOG: t=19:00:14.000 | min_dist=1.27m@47° | obstacles(<0.5m)=0 | F/L/R/B=5.74/1.27/1.74/Infinitym | avg=5.52m var=5.33
limo2 : SCAN_LOG: t=19:00:14.000 | min_dist=1.18m@98° | obstacles(<0.5m)=0 | F/L/R/B=4.25/1.18/3.24/Infinitym | avg=4.94m var=4.74
limo1 : SCAN_LOG: t=19:00:14.125 | min_dist=1.19m@52° | obstacles(<0.5m)=0 | F/L/R/B=5.92/1.19/1.81/Infinitym | avg=5.51m var=5.14
limo2 : SCAN_LOG: t=19:00:14.125 | min_dist=1.19m@103° | obstacles(<0.5m)=0 | F/L/R/B=4.45/1.19/3.3/Infinitym | avg=4.87m var=4.74
limo1 : SCAN_LOG: t=19:00:14.250 | min_dist=1.25m@47° | obstacles(<0.5m)=0 | F/L/R/B=6.1/1.25/1.88/Infinitym | avg=5.5m var=4.9
limo2 : SCAN_LOG: t=19:00:14.250 | min_dist=1.22m@105° | obstacles(<0.5m)=0 | F/L/R/B=4.64/1.22/3.41/Infinitym | avg=4.8m var=4.69
limo1 : SCAN_LOG: t=19:00:14.375 | min_dist=1.28m@47° | obstacles(<0.5m)=0 | F/L/R/B=6.3/1.28/1.98/Infinitym | avg=5.49m var=4.71
limo2 : SCAN_LOG: t=19:00:14.375 | min_dist=1.26m@111° | obstacles(<0.5m)=0 | F/L/R/B=4.84/1.26/3.46/Infinitym | avg=4.74m var=4.64
limo1 : SCAN_LOG: t=19:00:14.500 | min_dist=1.26m@47° | obstacles(<0.5m)=0 | F/L/R/B=6.49/1.26/2.04/Infinitym | avg=5.48m var=4.5
limo2 : SCAN_LOG: t=19:00:14.500 | min_dist=1.29m@116° | obstacles(<0.5m)=0 | F/L/R/B=5.03/1.29/3.55/Infinitym | avg=4.68m var=4.57
limo1 : SCAN_LOG: t=19:00:14.625 | min_dist=1.28m@48° | obstacles(<0.5m)=0 | F/L/R/B=6.39/1.28/2.15/Infinitym | avg=5.46m var=4.32
limo2 : SCAN_LOG: t=19:00:14.625 | min_dist=1.34m@114° | obstacles(<0.5m)=0 | F/L/R/B=5.39/1.34/3.63/Infinitym | avg=4.61m var=4.45
limo1 : SCAN_LOG: t=19:00:14.750 | min_dist=1.27m@56° | obstacles(<0.5m)=0 | F/L/R/B=6.29/1.27/2.22/Infinitym | avg=5.44m var=4.15
limo2 : SCAN_LOG: t=19:00:14.750 | min_dist=1.39m@120° | obstacles(<0.5m)=0 | F/L/R/B=5.29/1.39/3.72/Infinitym | avg=4.63m var=4.28
limo1 : SCAN_LOG: t=19:00:14.875 | min_dist=1.27m@47° | obstacles(<0.5m)=0 | F/L/R/B=6.19/1.27/2.3/Infinitym | avg=5.4m var=4.05
limo2 : SCAN_LOG: t=19:00:14.875 | min_dist=1.44m@114° | obstacles(<0.5m)=0 | F/L/R/B=5.19/1.44/3.81/Infinitym | avg=4.65m var=4.12
limo1 : SCAN_LOG: t=19:00:15.000 | min_dist=1.28m@47° | obstacles(<0.5m)=0 | F/L/R/B=6.08/1.28/2.39/Infinitym | avg=5.38m var=3.9
limo2 : SCAN_LOG: t=19:00:15.000 | min_dist=1.48m@119° | obstacles(<0.5m)=0 | F/L/R/B=5.09/1.48/3.88/Infinitym | avg=4.67m var=3.97
limo1 : SCAN_LOG: t=19:00:15.125 | min_dist=1.26m@47° | obstacles(<0.5m)=0 | F/L/R/B=5.99/1.26/2.46/Infinitym | avg=5.35m var=3.75
limo2 : SCAN_LOG: t=19:00:15.125 | min_dist=1.54m@117° | obstacles(<0.5m)=0 | F/L/R/B=4.99/1.54/3.95/Infinitym | avg=4.69m var=3.83
limo1 : SCAN_LOG: t=19:00:15.250 | min_dist=1.27m@47° | obstacles(<0.5m)=0 | F/L/R/B=5.89/1.27/2.55/Infinitym | avg=5.32m var=3.61
limo2 : SCAN_LOG: t=19:00:15.250 | min_dist=1.59m@117° | obstacles(<0.5m)=0 | F/L/R/B=4.89/1.59/4.03/Infinitym | avg=4.71m var=3.7
limo1 : SCAN_LOG: t=19:00:15.375 | min_dist=1.26m@47° | obstacles(<0.5m)=0 | F/L/R/B=5.79/1.26/2.63/Infinitym | avg=5.28m var=3.48
limo2 : SCAN_LOG: t=19:00:15.375 | min_dist=1.64m@119° | obstacles(<0.5m)=0 | F/L/R/B=4.79/1.64/4.12/Infinitym | avg=4.72m var=3.58
MISSION_LOG: t=2025-04-16T02:31:45.714Z | Mission 10_0_2_15_20250416023049_jw2xcp STOPPED for robot at 10.0.2.15
limo1 : SCAN_LOG: t=19:00:15.500 | min_dist=1.3m@47° | obstacles(<0.5m)=0 | F/L/R/B=5.68/1.3/2.7/Infinitym | avg=5.25m var=3.35
limo1 : SCAN_LOG: t=19:00:15.625 | min_dist=1.29m@56° | obstacles(<0.5m)=0 | F/L/R/B=5.59/1.29/2.78/Infinitym | avg=5.23m var=3.17
limo1 : SCAN_LOG: t=19:00:15.750 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.27/2.78/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:15.875 | min_dist=1.28m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.59/1.28/2.8/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:16.000 | min_dist=1.28m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.28/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:16.125 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.26/2.78/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:16.250 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.27/2.78/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:16.375 | min_dist=1.25m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.25/2.78/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:16.500 | min_dist=1.28m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.59/1.28/2.78/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:16.625 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.27/2.77/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:16.750 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.57/1.26/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:16.875 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.27/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:17.000 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.57/1.27/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:17.125 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.26/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:17.250 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.59/1.27/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:17.375 | min_dist=1.28m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.59/1.28/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:17.500 | min_dist=1.24m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.59/1.24/2.79/Infinitym | avg=5.23m var=3.19
