MISSION_LOG: t=2025-04-16T02:38:37.215Z | Mission 10_0_2_15_20250416023837_oqwbhc STARTED for robot at 10.0.2.15
limo1 : SCAN_LOG: t=19:00:44.250 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.27/2.78/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:44.250 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.27/2.78/Infinitym | avg=5.23m var=3.19
limo2 : SCAN_LOG: t=19:00:44.250 | min_dist=1.75m@119° | obstacles(<0.5m)=0 | F/L/R/B=4.59/1.75/4.3/Infinitym | avg=4.73m var=3.36
limo1 : SCAN_LOG: t=19:00:44.375 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.52/1.27/2.85/Infinitym | avg=5.2m var=3.1
limo1 : SCAN_LOG: t=19:00:44.375 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.52/1.27/2.85/Infinitym | avg=5.2m var=3.1
limo2 : SCAN_LOG: t=19:00:44.375 | min_dist=1.77m@115° | obstacles(<0.5m)=0 | F/L/R/B=4.52/1.77/4.34/Infinitym | avg=4.74m var=3.29
limo1 : SCAN_LOG: t=19:00:44.500 | min_dist=1.28m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.41/1.28/2.92/Infinitym | avg=5.16m var=2.95
limo1 : SCAN_LOG: t=19:00:44.500 | min_dist=1.28m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.41/1.28/2.92/Infinitym | avg=5.16m var=2.95
limo2 : SCAN_LOG: t=19:00:44.500 | min_dist=1.83m@117° | obstacles(<0.5m)=0 | F/L/R/B=4.42/1.83/4.4/Infinitym | avg=4.74m var=3.22
limo1 : SCAN_LOG: t=19:00:44.625 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.31/1.26/2.99/Infinitym | avg=5.11m var=2.8
limo1 : SCAN_LOG: t=19:00:44.625 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.31/1.26/2.99/Infinitym | avg=5.11m var=2.8
limo2 : SCAN_LOG: t=19:00:44.625 | min_dist=1.87m@118° | obstacles(<0.5m)=0 | F/L/R/B=4.31/1.87/4.49/Infinitym | avg=4.74m var=3.14
limo1 : SCAN_LOG: t=19:00:44.750 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.21/1.27/3.09/Infinitym | avg=5.08m var=2.66
limo1 : SCAN_LOG: t=19:00:44.750 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.21/1.27/3.09/Infinitym | avg=5.08m var=2.66
limo2 : SCAN_LOG: t=19:00:44.750 | min_dist=1.92m@116° | obstacles(<0.5m)=0 | F/L/R/B=4.21/1.92/4.58/Infinitym | avg=4.75m var=3.1
limo1 : SCAN_LOG: t=19:00:44.875 | min_dist=1.28m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.12/1.28/3.17/Infinitym | avg=5.06m var=2.58
limo1 : SCAN_LOG: t=19:00:44.875 | min_dist=1.28m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.12/1.28/3.17/Infinitym | avg=5.06m var=2.58
limo2 : SCAN_LOG: t=19:00:44.875 | min_dist=1.98m@116° | obstacles(<0.5m)=0 | F/L/R/B=4.12/1.98/4.66/Infinitym | avg=4.75m var=3.06
limo1 : SCAN_LOG: t=19:00:45.000 | min_dist=1.28m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.02/1.28/3.24/Infinitym | avg=5.05m var=2.51
limo1 : SCAN_LOG: t=19:00:45.000 | min_dist=1.28m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.02/1.28/3.24/Infinitym | avg=5.05m var=2.51
limo2 : SCAN_LOG: t=19:00:45.000 | min_dist=2.02m@119° | obstacles(<0.5m)=0 | F/L/R/B=4.02/2.02/4.73/Infinitym | avg=4.74m var=3.01
limo1 : SCAN_LOG: t=19:00:45.125 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=4.92/1.26/3.34/Infinitym | avg=5.04m var=2.43
limo1 : SCAN_LOG: t=19:00:45.125 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=4.92/1.26/3.34/Infinitym | avg=5.04m var=2.43
limo2 : SCAN_LOG: t=19:00:45.125 | min_dist=2.07m@120° | obstacles(<0.5m)=0 | F/L/R/B=3.92/2.07/4.81/Infinitym | avg=4.74m var=3
limo1 : SCAN_LOG: t=19:00:45.250 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=4.8/1.26/3.41/Infinitym | avg=5.02m var=2.35
limo1 : SCAN_LOG: t=19:00:45.250 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=4.8/1.26/3.41/Infinitym | avg=5.02m var=2.35
limo2 : SCAN_LOG: t=19:00:45.250 | min_dist=2.12m@115° | obstacles(<0.5m)=0 | F/L/R/B=3.82/2.12/4.89/Infinitym | avg=4.73m var=2.97
limo1 : SCAN_LOG: t=19:00:45.375 | min_dist=1.29m@48° | obstacles(<0.5m)=0 | F/L/R/B=4.72/1.29/3.5/Infinitym | avg=5.02m var=2.25
limo1 : SCAN_LOG: t=19:00:45.375 | min_dist=1.29m@48° | obstacles(<0.5m)=0 | F/L/R/B=4.72/1.29/3.5/Infinitym | avg=5.02m var=2.25
limo2 : SCAN_LOG: t=19:00:45.375 | min_dist=2.16m@119° | obstacles(<0.5m)=0 | F/L/R/B=3.72/2.16/4.98/Infinitym | avg=4.72m var=2.98
limo1 : SCAN_LOG: t=19:00:45.500 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=4.62/1.26/3.56/Infinitym | avg=5.01m var=2.14
limo1 : SCAN_LOG: t=19:00:45.500 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=4.62/1.26/3.56/Infinitym | avg=5.01m var=2.14
limo2 : SCAN_LOG: t=19:00:45.500 | min_dist=2.22m@118° | obstacles(<0.5m)=0 | F/L/R/B=3.62/2.22/5.06/Infinitym | avg=4.71m var=2.98
limo1 : SCAN_LOG: t=19:00:45.625 | min_dist=1.28m@56° | obstacles(<0.5m)=0 | F/L/R/B=4.52/1.28/3.65/Infinitym | avg=5m var=2.04
limo1 : SCAN_LOG: t=19:00:45.625 | min_dist=1.28m@56° | obstacles(<0.5m)=0 | F/L/R/B=4.52/1.28/3.65/Infinitym | avg=5m var=2.04
limo2 : SCAN_LOG: t=19:00:45.625 | min_dist=2.27m@119° | obstacles(<0.5m)=0 | F/L/R/B=3.51/2.27/5.02/Infinitym | avg=4.7m var=2.99
limo1 : SCAN_LOG: t=19:00:45.750 | min_dist=1.29m@48° | obstacles(<0.5m)=0 | F/L/R/B=4.42/1.29/3.73/Infinitym | avg=4.98m var=1.96
limo1 : SCAN_LOG: t=19:00:45.750 | min_dist=1.29m@48° | obstacles(<0.5m)=0 | F/L/R/B=4.42/1.29/3.73/Infinitym | avg=4.98m var=1.96
limo2 : SCAN_LOG: t=19:00:45.750 | min_dist=2.32m@117° | obstacles(<0.5m)=0 | F/L/R/B=3.42/2.32/4.87/Infinitym | avg=4.69m var=3.03
limo1 : SCAN_LOG: t=19:00:45.875 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=4.31/1.26/3.8/Infinitym | avg=4.96m var=1.88
limo1 : SCAN_LOG: t=19:00:45.875 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=4.31/1.26/3.8/Infinitym | avg=4.96m var=1.88
limo2 : SCAN_LOG: t=19:00:45.875 | min_dist=2.37m@120° | obstacles(<0.5m)=0 | F/L/R/B=3.32/2.37/4.72/Infinitym | avg=4.67m var=3.07
limo1 : SCAN_LOG: t=19:00:46.000 | min_dist=1.28m@48° | obstacles(<0.5m)=0 | F/L/R/B=4.22/1.28/3.9/Infinitym | avg=4.95m var=1.82
limo1 : SCAN_LOG: t=19:00:46.000 | min_dist=1.28m@48° | obstacles(<0.5m)=0 | F/L/R/B=4.22/1.28/3.9/Infinitym | avg=4.95m var=1.82
limo2 : SCAN_LOG: t=19:00:46.000 | min_dist=2.43m@117° | obstacles(<0.5m)=0 | F/L/R/B=3.22/2.43/4.58/Infinitym | avg=4.65m var=3.11
limo1 : SCAN_LOG: t=19:00:46.125 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=4.12/1.27/3.99/Infinitym | avg=4.93m var=1.78
limo1 : SCAN_LOG: t=19:00:46.125 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=4.12/1.27/3.99/Infinitym | avg=4.93m var=1.78
limo2 : SCAN_LOG: t=19:00:46.125 | min_dist=2.47m@117° | obstacles(<0.5m)=0 | F/L/R/B=3.12/2.47/4.44/Infinitym | avg=4.63m var=3.17
limo1 : SCAN_LOG: t=19:00:46.250 | min_dist=1.28m@48° | obstacles(<0.5m)=0 | F/L/R/B=4.01/1.28/4.05/Infinitym | avg=4.91m var=1.73
limo1 : SCAN_LOG: t=19:00:46.250 | min_dist=1.28m@48° | obstacles(<0.5m)=0 | F/L/R/B=4.01/1.28/4.05/Infinitym | avg=4.91m var=1.73
limo2 : SCAN_LOG: t=19:00:46.250 | min_dist=2.53m@120° | obstacles(<0.5m)=0 | F/L/R/B=3.02/2.53/4.32/Infinitym | avg=4.61m var=3.25
limo1 : SCAN_LOG: t=19:00:46.375 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=3.91/1.26/4.13/Infinitym | avg=4.88m var=1.7
limo1 : SCAN_LOG: t=19:00:46.375 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=3.91/1.26/4.13/Infinitym | avg=4.88m var=1.7
limo2 : SCAN_LOG: t=19:00:46.375 | min_dist=2.57m@118° | obstacles(<0.5m)=0 | F/L/R/B=2.92/2.57/4.18/Infinitym | avg=4.57m var=3.31
limo1 : SCAN_LOG: t=19:00:46.500 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=3.81/1.27/4.22/Infinitym | avg=4.86m var=1.69
